-1041	4010	-837
-1033	4017	-841
-1018	4011	-842
-1003	4007	-839
-994	4033	-838
-989	4068	-838
-984	4080	-837
-978	4075	-834
-974	4063	-827
-972	4055	-813
-970	4041	-796
-964	4017	-780
-961	3992	-760
-963	3969	-749
-968	3962	-745
-967	3959	-675
-948	3946	-595
-937	3945	-587
-944	3949	-616
-948	3955	-670
-900	4003	-706
-758	3929	-624
-702	3786	-518
-759	3799	-467
-774	3854	-420
-762	3877	-395
-749	3906	-378
-742	3955	-356
-744	3996	-331
-755	4005	-314
-761	3998	-308
-766	3984	-300
-772	3966	-279
-778	3953	-252
-782	3940	-222
-791	3929	-198
-799	3925	-183
-801	3925	-156
-799	3912	-108
-790	3868	-54
-779	3792	-1
-767	3692	44
-760	3627	59
-758	3635	53
-758	3634	73
-758	3570	129
-633	3451	197
-559	3286	277
-516	3123	373
-490	2950	460
-460	2950	517
-414	2694	547
-353	2310	565
-283	2388	573
-210	2219	576
-126	2136	581
-19	2137	583
116	2108	583
266	2015	578
418	1907	591
603	1799	654
801	1771	717
1013	1869	741
1263	2001	767
1520	2117	777
1761	2195	742
2003	2317	694
2269	2582	637
2577	2832	593
2882	2926	587
3162	2928	597
3429	2935	591
3670	2956	553
3897	2952	473
4144	2888	349
4443	2780	235
4764	2724	154
5105	2736	64
5474	2716	-31
5855	2689	-100
6269	2744	-132
6697	2850	-102
7024	2955	-6
7183	3032	182
7183	3078	409
6960	3060	532
6536	2892	555
6021	2597	547
5469	2272	509
4940	1927	449
4520	1537	382
4260	1152	312
4123	813	242
4057	563	170
4029	442	81
4018	401	-24
4021	392	-138
4035	433	-247
4057	554	-331
4102	696	-391
4161	798	-446
4208	886	-473
4235	993	-458
4246	1136	-427
4235	1279	-384
4185	1377	-317
4109	1453	-240
4021	1524	-168
3920	1580	-109
3812	1624	-66
3720	1652	-29
3646	1660	3
3585	1651	35
3571	1624	63
3597	1578	84
3645	1523	91
3708	1463	78
3769	1384	45
3818	1291	-3
3862	1217	-57
3902	1187	-101
3902	1198	-126
3902	1220	-127
3988	1245	-109
4024	1268	-83
4044	1284	-49
4058	1296	-15
4067	1296	11
4071	1296	25
4070	1037	24
4066	1273	8
4065	1275	-14
4072	1298	-33
4079	1318	-33
4076	1326	-33
4062	1330	-37
4045	1335	-12
4032	1343	-12
4023	1346	-2
4019	1319	-2
4025	1252	-5
4035	1181	-14
4045	1175	-11
4058	1317	48
4066	1668	83
4066	1800	62
4078	1291	87
4134	587	176
4214	116	318
4270	-124	459
4282	-170	538
4239	-145	548
4185	-129	480
4161	-90	363
4160	14	256
4158	169	182
4137	346	134
4112	524	102
4099	652	78
4096	724	55
4093	773	15
4084	805	-53
4078	812	-144
4071	792	-236
4060	764	-307
4048	754	-353
4037	766	-384
4034	789	-400
4039	811	-400
4033	840	-394
4013	859	-385
3994	844	-370
3975	823	-328
3964	862	-265
3970	991	-242
3968	1083	-262
3951	1069	-286
3940	1060	-295
3940	1134	-300
3933	1238	-308
3913	1295	-313
3893	1314	-317
3881	1320	-316
3867	1317	-314
3848	1311	-311
3827	1312	-306
3804	1314	-300
3794	1315	-291
3800	1317	-285
3807	1313	-284
3815	1305	-288
3829	1282	-295
3849	1240	-296
3873	1195	-294
3887	1159	-291
3895	1138	-290
3904	1128	-289
3904	1119	-289
3915	1114	-285
3927	1112	-273
3936	1110	-260
3944	1112	-244
3953	1112	-230
3972	1112	-218
4002	1160	-200
4025	1170	-200
4023	1168	-146
4004	1167	-146
3985	1160	-146
3975	1150	-102
3974	1155	-89
3970	1185	-59
3963	1209	-15
3963	1198	24
3971	1165	53
3980	1151	71
3982	1174	84
3986	1214	90
3997	1242	89
4012	1268	90
4020	1313	96
4024	1354	101
4024	1377	105
4021	1390	109
4013	1393	105
4005	1359	88
3990	1309	63
3971	1280	31
3958	1282	-3
3951	1305	-35
3954	1326	-59
3961	1340	-84
3966	1347	-113
3972	1346	-143
3979	1336	-171
3981	1324	-198
3977	1317	-211
3967	1305	-211
3955	1287	-210
3939	1266	-214
3928	1240	-226
3929	1222	-236
3931	1215	-244
3930	1214	-250
3927	1210	-249
3922	1201	-250
3915	1193	-256
3908	1190	-266
3906	1194	-274
3908	1185	-270
3908	1169	-268
3912	1163	-267
3922	1163	-269
3937	1157	-276
3955	1150	-272
3955	1138	-259
3930	1118	-239
3898	1108	-213
3882	1104	-201
3888	1100	-202
3896	1101	-208
3897	1103	-217
3900	1103	-218
3904	1099	-210
3905	1094	-200
3909	1093	-188
3927	1088	-183
3927	1080	-184
3951	1073	-186
3976	1073	-192
4001	1046	-204
4022	1050	-211
4037	1050	-199
4049	1050	-176
4064	1088	-138
4076	1119	-138
4084	1141	-47
4087	1158	-11
4082	1178	-11
4065	1197	245
4029	1226	35
3980	1273	49
3928	1313	53
3882	1318	47
3850	1309	30
3835	1312	4
3830	1329	-23
3838	1343	-53
3863	1341	-85
3897	1314	-118
3934	1263	-150
3970	1218	-171
3998	1193	-178
4012	1185	-176
4012	1174	-169
3997	1153	-164
3969	1135	-164
3940	1123	-173
3918	1120	-192
3903	1123	-203
3897	1119	-206
3904	1115	-207
3924	1117	-211
3952	1119	-222
3986	1120	-238
4008	1119	-242
4003	1115	-233
3980	1107	-217
3957	1099	-196
3944	1099	-181
3935	1113	-174
3920	1129	-169
3905	1134	-169
3900	1140	-166
3902	1154	-159
3907	1172	-152
3913	1189	-148
3920	1203	-145
3931	1213	-139
3944	1212	-133
3960	1207	-126
3970	1212	-114
3969	1217	-104
3965	1216	-97
3959	1210	-89
3947	1198	-85
3929	1183	-81
3913	1173	-75
3904	1169	-71
3899	1169	-69
3900	1171	-68
3904	1166	-69
3910	1151	-76
3922	1130	-99
3943	1123	-125
3971	1136	-146
3994	1147	-157
3994	1156	-158
3994	1159	-158
4003	1158	-152
3996	1154	-144
3984	1148	-143
3970	1133	-147
3954	1133	-151
3941	1133	-151
3937	1115	-144
3941	1114	-144
3939	1115	-139
3924	1120	-139
3909	1127	-139
3904	1126	-141
3910	1120	-145
3926	1124	-152
3949	1138	-159
3972	1154	-166
3988	1165	-166
3984	1170	-158
3960	1176	-146
3934	1180	-139
3921	1176	-139
3923	1172	-143
3925	1176	-143
3917	1175	-143
3903	1159	-139
3893	1138	-136
3897	1128	-139
3910	1130	-139
3928	1134	-138
3953	1137	-149
3979	1136	-165
4000	1134	-173
4015	1135	-178
4018	1141	-186
4013	1137	-186
4010	1139	-177
4010	1144	-172
4001	1137	-160
3982	1134	-142
3971	1136	-124
3965	1143	-104
3960	1152	-90
3954	1164	-85
3947	1169	-81
3942	1172	-77
3946	1175	-74
3950	1174	-76
3949	1175	-82
3949	1179	-90
3952	1185	-98
3962	1190	-106
3971	1198	-111
3974	1202	-113
3975	1196	-114
3973	1192	-115
3969	1192	-120
3961	1183	-127
3953	1169	-135
3946	1163	-146
3942	1165	-153
3942	1164	-152
3947	1155	-144
3957	1147	-141
3969	1153	-148
3988	1162	-157
4012	1165	-163
4023	1158	-161
4011	1147	-149
3984	1148	-132
3961	1151	-122
3951	1150	-116
3951	1154	-109
3951	1151	-102
3944	1139	-94
3938	1125	-90
3939	1111	-89
3950	1101	-94
3966	1092	-97
3981	1092	-98
3994	1084	-98
4006	1084	-98
4014	1083	-98
4019	1087	-89
4021	1093	-83
4022	1093	-83
4027	1093	-83
4033	1086	-70
4035	1068	-59
4033	1042	-44
4030	1011	-27
4026	991	-13
4022	977	1
4019	962	16
4022	948	25
4030	942	26
4039	938	23
4048	934	24
4057	933	27
4061	930	29
4058	934	33
4056	940	37
4053	944	34
4050	962	27
4045	1011	19
4034	1066	6
4023	1095	-2
4020	1132	-8
4018	1189	-20
4015	1237	-27
4009	1278	-34
3985	1301	-39
3945	1305	-40
3896	1320	-34
3834	1346	-20
3761	1372	0
3696	1397	16
3637	1424	31
3562	1473	47
3475	1544	61
3406	1617	66
3378	1690	53
3414	1771	17
3487	1866	-37
3550	1990	-94
3606	2118	-151
3661	2215	-207
3721	2275	-253
3769	2306	-289
3781	2328	-324
3764	2354	-353
3729	2374	-371
3690	2371	-371
3654	2364	-347
3612	2379	-288
3567	2402	-200
3519	2404	-114
3465	2386	-48
3413	2370	5
3371	2377	49
3350	2426	98
3362	2531	156
3410	2575	173
3473	2439	132
3527	2206	70
3575	1998	-1
3615	1824	-78
3641	1716	-150
3648	1699	-208
3641	1742	-241
3627	1804	-257
3627	1834	-272
3627	1838	-257
3621	1783	-197
3630	1760	-155
3633	1874	-136
3631	1999	-93
3636	1999	-45
3653	2045	-35
3667	2045	-45
3668	1981	-58
3662	1902	-91
3657	1853	-107
3657	1832	-93
3656	1814	-93
3662	1778	-93
3693	1695	-79
3759	1627	-83
3859	1640	-91
3983	1686	-98
4143	1698	-110
4323	1639	-120
4500	1546	-134
4664	1476	-180
4787	1423	-257
4862	1351	-322
4918	1278	-365
4989	1225	-385
5061	1144	-382
5099	1046	-365
5104	979	-352
5081	935	-355
5041	883	-378
5005	775	-418
4960	611	-493
4862	464	-584
4678	324	-642
4399	141	-674
4040	-82	-695
3648	-313	-711
3265	-524	-738
2942	-711	-781
2750	-848	-818
2760	-880	-807
3037	-738	-729
3604	-383	-600
4502	49	-507
5788	400	-592
7404	746	-908
9270	1162	-1314
11213	1643	-1651
12724	2498	-1936
13201	3896	-2125
12766	5307	-2100
12012	6205	-1976
11004	6644	-1833
9652	6850	-1547
8094	6882	-1125
6462	6687	-690
4862	6231	-325
3344	5649	-87
1840	5201	16
253	5027	35
-1452	5033	73
-3187	5033	248
-4697	4930	550
-5824	4727	809
-6683	4469	832
-7462	4300	517
-8205	4378	-61
-8717	4649	-659
-8717	4987	-968
-8057	5283	-851
-6847	5528	-491
-5344	5835	-176
-3803	6357	-133
-2354	7089	-396
-2354	8013	-912
462	9430	-1532
2221	11805	-2088
